class|name
25|Abrigo de mezclilla
25|Abrigos coreanos (durumagi)
25|Abrigos de algodón
25|Abrigos de cuero
25|Abrigos de lona
25|Abrigos para hombres y mujeres
25|Abrigos y chaquetas de piel
25|Albornoces con capucha
25|Alpargatas
25|Anoraks (parkas)
25|Antifaces para dormir
25|Artículos de sombrerería
25|Artículos de sombrerería de cuero
25|Artículos de sombrerería para niños
25|Atuendo básico superior tradicional coreano (vestimenta) (jeogori)
25|Baberos de tela
25|Bañador (pantalón corto)
25|Bandanas
25|Bandas antisudor
25|Bandas de sujeción para fajas de kimono (obiage)
25|Bandas faja para quimonos (obi)
25|Bandas para la cabeza
25|Bandas para la cabeza como prenda de vestir
25|Bandas para la cabeza contra el sudor
25|Batas
25|Batas con capucha
25|Batas de dormir japonesas (nemaki)
25|Batas para hombre
25|Batas y batas de baño
25|Bikinis
25|Blazers
25|Blusas
25|Blusas sin mangas
25|Blusones
25|Bodys para infantes y niños pequeños
25|Boinas escocesas
25|Boleros
25|Bolsillos de prendas de vestir
25|Botas de descanso para después de esquiar
25|Botas de equitación
25|Botas de fútbol
25|Botas de fútbol y sus tacos
25|Botas de gimnasio
25|Botas de invierno
25|Botas de lluvia
25|Botas de montaña (botas de montañismo)
25|Botas de montañismo
25|Botas de motociclista
25|Botas japonesas de trabajo con separación para el dedo gordo (jikatabi)
25|Botas militares
25|Botas para damas
25|Botas para deporte
25|Botas para la nieve
25|Botas para motociclista
25|Botines
25|Botines de fútbol
25|Boxers (calzoncillos)
25|Bragas
25|Bufandas
25|Bufandas de seda
25|Burkas (vestimenta)
25|Buzos (vestimenta)
25|Caftanes
25|Calcetines
25|Calcetines antitranspirantes
25|Calcetines de dedos
25|Calcetines de lana
25|Calcetines estilo japonés (tabi)
25|Calcetines para hombres
25|Calcetines para yoga
25|Calcetines y medias
25|Calzado
25|Calzado con cierre de gancho y rizo
25|Calzado de madera
25|Calzado de playa
25|Calzado excepto calzado ortopédico
25|Calzado hecho de vinilo
25|Calzado japonés de paja de arroz (waraji)
25|Calzado para atletismo de pista y campo
25|Calzado para caballeros
25|Calzado para hombres y mujeres
25|Calzado para mujeres
25|Calzado que no sea para deportes
25|Calzas y polainas
25|Calzoncillos
25|Calzoncillos térmicos
25|Calzones
25|Calzones, shorts y calzoncillos
25|Camisas
25|Camisas con botones
25|Camisas con cuello
25|Camisas de barbero
25|Camisas de cuello abierto
25|Camisas de deporte
25|Camisas de deporte con mangas cortas
25|Camisas de dormir
25|Camisas de golf
25|Camisas de manga larga
25|Camisas de pana
25|Camisas de punto
25|Camisas de ramio
25|Camisas de vestir
25|Camisas hawaianas con botones
25|Camisas manga corta
25|Camisas para trajes
25|Camisas tipo polo
25|Camisas y camisas de manga corta
25|Camisas y pantalones cortos a juego (lencería)
25|Camisas-chaqueta
25|Camisetas
25|Camisetas de deporte transpirables
25|Camisetas de manga corta o larga
25|Camisetas de punto
25|Camisetas de rugby
25|Camisetas de yoga
25|Camisetas interiores de manga larga
25|Camisetas interiores para quimonos (juban)
25|Camisetas interiores para quimonos (koshimaki)
25|Camisetas ombligueras
25|Camisolas interiores
25|Camisolines
25|Camisones
25|Canguros (suéteres con capucha)
25|Capas
25|Capas impermeables (vestuario)
25|Capuchas
25|Casullas
25|Cazadoras tipo bomber (chaquetas)
25|Chadors (vestimenta)
25|Chalecos cortaviento
25|Chalecos de deporte
25|Chalecos de mujer tradicionales coreanos (baeja)
25|Chalecos resistentes al viento
25|Chales de punto
25|Chales y estolas
25|Chales y pañuelos de cabeza
25|Chaqués
25|Chaqueta de plumón
25|Chaquetas
25|Chaquetas acolchadas (prendas de vestir)
25|Chaquetas con o sin mangas
25|Chaquetas coreanas (magoja)
25|Chaquetas cortaviento
25|Chaquetas de cuero
25|Chaquetas de deporte
25|Chaquetas de esquí
25|Chaquetas de forro polar
25|Chaquetas de motociclista
25|Chaquetas de pescador
25|Chaquetas de plumas
25|Chaquetas de punto
25|Chaquetas impermeables
25|Chaquetas largas
25|Chaquetas para esquí en tabla
25|Chaquetas rompevientos
25|Chaquetas vaqueras
25|Chaquetas y calcetines
25|Chaquetas, abrigos, pantalones y chalecos de caballero y de señora
25|Chaquetones
25|Chubasqueros (cortavientos)
25|Cintas para absorber el sudor de la frente
25|Cintas para el sudor
25|Cinturones
25|Cinturones (prendas de vestir)
25|Cinturones de cuero
25|Cinturones de cuero (prendas de vestir)
25|Cinturones de cuero de imitación
25|Cinturones de materias textiles
25|Cinturones de tela
25|Cinturones para envolver para quimonos (datemaki)
25|Conjunto de dos piezas (twin sets)
25|Corbatas
25|Corbatas (prendas de vestir)
25|Corbatas de cordón
25|Corpiños
25|Correas de dedo para zuecos de madera de estilo japonés
25|Correas de pantalón
25|Corsé (vestidos, prendas de corsetería)
25|Corsés
25|Corsés (prendas de corsetería)
25|Cortavientos
25|Cubrezapatos
25|Cuellos
25|Cuellos separables para kimonos (haneri)
25|Cuerdas de ajuste para quimonos (datejime)
25|Cuerdas de cintura para quimonos (koshihimo)
25|Delantales desechables
25|Disfraces para Halloween (víspera de Todos los Santos)
25|Empeines de ratán tejido para sandalias de estilo japonés
25|Empeines de sandalias de estilo japonés
25|Enaguas cortas
25|Enteritos
25|Esmóquines
25|Estolas
25|Estructura de madera para zuecos de estilo japonés
25|Fajas (ropa interior)
25|Fajas de esmóquines
25|Fajas para nudos obi (obiage-shin)
25|Faldas escocesas
25|Faldas pantalón
25|Faldas plisadas
25|Faldas plisadas para quimonos formales (hakama)
25|Faldas y vestidos
25|Fezes (gorros tradicionales de origen turco)
25|Gabán corto para quimono (haori)
25|Gabanes
25|Gabardinas
25|Gabardinas trench
25|Gorras de béisbol
25|Gorras de golf
25|Gorras de punto
25|Gorras de visera
25|Gorras militares
25|Gorras para ciclistas
25|Gorras y sombreros de béisbol
25|Gorras y sombreros de deporte
25|Gorros
25|Gorros (sombrerería)
25|Gorros de baño
25|Gorros de dormir
25|Gorros de ducha
25|Gorros tipo pescador
25|Guantes como prenda de vestir
25|Guantes con yemas conductoras que pueden ser usados para manipular aparatos electrónicos con pantallas táctiles
25|Guantes de manejo
25|Guantes de motociclista
25|Guantes de punto
25|Guantes de snowboard
25|Guantes sin dedos
25|Herrajes metálicos para zuecos estilo japonés
25|Indumentaria de aikido
25|Jerséis de manga larga
25|Jerséis deportivos y pantalones para el deporte
25|Jerséis sin manga
25|Jerséis sin mangas
25|Juegos de top y culote (ropa)
25|Kimonos
25|Lencería
25|Leotardos
25|Leotardos y pantis de nylon, algodón u otras materias textiles para mujeres, hombres y niños
25|Ligas para calcetines
25|Ligueros
25|Ligueros de caballero
25|Ligueros nupciales
25|Ligueros para señora
25|Maillots
25|Mallas (bodys)
25|Mallas atléticas
25|Mallas con tirantes
25|Mañanitas
25|Manguitos de piel
25|Mantos
25|Medias
25|Medias (absorbentes de la transpiración)
25|Medias de cuerpo entero
25|Medias de deporte
25|Minifaldas
25|Mocasines
25|Monokinis
25|Monos cortos (ropa)
25|Mukluks (botas de piel)
25|Nicabs (velos faciales)
25|Orejeras como prenda de vestir
25|Overoles
25|Overoles de trabajo
25|Pajaritas
25|Pañoletas
25|Pantalón bermudas
25|Pantalones bombachos tipo golf
25|Pantalones cortos de baño
25|Pantalones cortos de boxeo
25|Pantalones cortos de chándal
25|Pantalones cortos de gimnasia
25|Pantalones cortos tipo chándal
25|Pantalones de chándal
25|Pantalones de chándal tipo sudadera
25|Pantalones de cuero
25|Pantalones de esquí
25|Pantalones de golf
25|Pantalones de jogging
25|Pantalones de lluvia
25|Pantalones de mezclilla
25|Pantalones de montar
25|Pantalones de niños
25|Pantalones de pana
25|Pantalones de pista
25|Pantalones de sudadera
25|Pantalones de vestir
25|Pantalones de yoga
25|Pantalones largos
25|Pantalones para ciclistas
25|Pantalones para esquí en tabla
25|Pantalones tipo pescador
25|Pantalones vaqueros
25|Pantalones y chaquetas impermeables
25|Pantalones, camisas y faldas para golf
25|Pantimedia
25|Pantis
25|Pantis de lana
25|Pantuflas
25|Pantuflas de cuero
25|Pantuflas de gomaespuma para pedicura
25|Pantuflas desechables
25|Pañuelos cuadrados para la cabeza
25|Pañuelos de cuello
25|Pareos
25|Pareos de baño
25|Parkas
25|Pasamontañas
25|Pelerinas
25|Pellizas
25|Petos de entrenamiento
25|Piezas de tacón para zapatos
25|Pijamas
25|Pijamas de punto
25|Plantillas
25|Plantillas para calzado
25|Plantillas para zapatos y botas
25|Polainas
25|Polainas (prendas de vestir)
25|Polerones
25|Polerones de cuello subido
25|Polos
25|Polos de punto
25|Ponchos
25|Prendas de calcetería
25|Prendas de vestir para jugar a tenis
25|Prendas de vestir para la práctica del judo
25|Prendas de vestir para niños pequeños
25|Prendas de vestir, a saber, camisas
25|Prendas inferiores (ropa)
25|Prendas para cubrir trajes de baño
25|Pretinas
25|Pulóveres
25|Puños (prendas de vestir)
25|Punteras de calzado
25|Quimonos largos (nagagi)
25|Rebecas
25|Rompevientos
25|Rompevientos (ropa)
25|Ropa de bebé para la parte superior del cuerpo
25|Ropa de dormir
25|Ropa de playa
25|Ropa impermeable
25|Ropa interior
25|Ropa interior absorbente de transpiración
25|Ropa interior de punto
25|Ropa interior modeladora
25|Ropa interior para damas
25|Ropa interior para mujeres
25|Ropa interior tejida o de punto
25|Ropa interior térmica
25|Ropa para correr
25|Ropa para hacer footing
25|Ropa para la lluvia
25|Ropa para ski
25|Salidas de baño
25|Sandalias de baño
25|Sandalias de cuero estilo japonés
25|Sandalias de estilo japonés (zori)
25|Sandalias de fieltro estilo japonés
25|Sandalias japonesas de correa de dedo (asaura-zori)
25|Sandalias y zapatos de playa
25|Sarapes
25|Saris
25|Sarongs (pareos)
25|Shorts
25|Shorts de rugby
25|Shorts de surf
25|Slips
25|Sobaqueras
25|Sobrepantalones
25|Sobretodos
25|Soleras (prendas de vestir)
25|Solideos
25|Sombreros
25|Sombreros cloché
25|Sombreros de ala ancha
25|Sombreros de copa
25|Sombreros de fiesta (vestimenta)
25|Sombreros de juncia (sugegasa)
25|Sombreros de lana
25|Sombreros de lluvia
25|Sombreros de papel para su uso como prendas de vestir
25|Sombreros de piel
25|Sombreros de playa
25|Sombreros pequeños
25|Soquetes (calcetines)
25|Sostenes
25|Sostenes deportivos
25|Sostenes sin tirantes
25|Sotanas
25|Sudaderas
25|Sudaderas con capucha
25|Sudarios de lino (vestimenta)
25|Suecos
25|Suelas (internas)
25|Suelas de caucho para botas japonesas jikatabi
25|Suelas de zapatillas
25|Suelas para reparación de zapatos
25|Suelas para sandalias estilo japonés
25|Suelas para zapatos
25|Suéteres
25|Suéteres con cuello en V
25|Suéteres de cuello redondo
25|Sujeciones de cuerda para haoris (haori-himo)
25|Sujeciones de madera para zuecos de madera de estilo japonés
25|Sujetadores sin aros (ropa interior)
25|Tacos para botas de fútbol
25|Tangas
25|Tankinis
25|Tapados (vestimenta)
25|Tirantes (suspensores)
25|Tocas (prendas de vestir)
25|Tops (prendas de vestir)
25|Tops tipo tubo
25|Trabillas de pie para pantalones
25|Trajes chaqueta
25|Trajes de baile
25|Trajes de baño
25|Trajes de baño (bañadores)
25|Trajes de baño con copas de sostén
25|Trajes de baño para caballero y señora
25|Trajes de baño para hombre
25|Trajes de baño para mujeres
25|Trajes de calentamiento
25|Trajes de chándal
25|Trajes de chaqueta informales
25|Trajes de cuero
25|Trajes de entrenamiento
25|Trajes de esquí
25|Trajes de esquí para competencia
25|Trajes de falda
25|Trajes de judo
25|Trajes de karate
25|Trajes de kendo
25|Trajes de lluvia
25|Trajes de marinero
25|Trajes de neopreno para esquí acuático
25|Trajes de neopreno para surf
25|Trajes de pista
25|Trajes de plumas
25|Trajes de taekwondo
25|Trajes de una pieza
25|Trajes de vestir
25|Trajes para dama
25|Trajes para el baño
25|Trajes para hombres
25|Trajes para hombres y trajes para mujeres
25|Trajes para nieve
25|Trajes para skí en tabla
25|Trajes para usar en juegos de rol
25|Trencas
25|Uniformes de béisbol
25|Uniformes de deportes
25|Uniformes deportivos
25|Uniformes escolares
25|Uniformes para deportes de combate
25|Vestidos
25|Vestidos de boda
25|Vestidos de ceremonia para mujeres
25|Vestidos de cocktail
25|Vestidos de noche
25|Vestidos de tenis
25|Vestidos hechos de pieles
25|Vestidos para damas de honor
25|Vestimenta (tops) para yoga
25|Vestuario para juegos de lucha libre
25|Viseras (artículos de sombrerería)
25|Zapatillas de ballet
25|Zapatillas de baloncesto
25|Zapatillas de clavos
25|Zapatillas de tenis
25|Zapatillas plegables de señora para estar por casa
25|Zapatos de alpinismo
25|Zapatos de baile
25|Zapatos de baile de salón
25|Zapatos de ballet
25|Zapatos de balonmano
25|Zapatos de basquetbol
25|Zapatos de béisbol
25|Zapatos de boliche
25|Zapatos de boxeo
25|Zapatos de ciclismo
25|Zapatos de cuero
25|Zapatos de deporte
25|Zapatos de entrenamiento
25|Zapatos de esquí
25|Zapatos de fútbol
25|Zapatos de golf
25|Zapatos de goma
25|Zapatos de hockey
25|Zapatos de lona
25|Zapatos de madera (calzado)
25|Zapatos de montañismo
25|Zapatos de montar
25|Zapatos de mujer
25|Zapatos de pescador
25|Zapatos de pista y campo
25|Zapatos de rugby
25|Zapatos de senderismo
25|Zapatos de tenis
25|Zapatos de vestir
25|Zapatos de voleibol
25|Zapatos para bebés de punto
25|Zapatos para correr
25|Zapatos para el agua
25|Zapatos para el ocio
25|Zapatos para esquís y para tablas de esquí y sus partes
25|Zapatos sin cordones
25|Zapatos tejidos para bebés
25|Zapatos y botas de niños
25|Zapatos y botas de trabajo
25|Zuecos
25|Zuecos altos para la lluvia (ashida)
25|Zuecos bajos de madera (koma-geta)
25|Zuecos de madera bajos (hiyori-geta)
25|Zuecos de madera de estilo japonés (geta)
25|Zuecos y sandalias estilo japonés
25|Zuecos-sandalias
